tmk,tmk_txt,island,owner,ownedby,majorowner,type,gisacres
141020014,141020014,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.26942504
185025042,185025042,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.08534728
185025009,185025009,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.08534691
198026001,198026001,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.8353237
141016079,141016079,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.26535283
122015086,122015086,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16659681
187042028,187042028,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.13114036
194003010,194003010,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.86737889
141019021,141019021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.24882626
185026037,185026037,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.03699506
143013049,143013049,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.06996588
141038015,141038015,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12212547
134007003,134007003,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.69463904
195086016,195086016,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,2.3926601
189010021,189010021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.22791321
187043060,187043060,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16346603
197004001,197004001,Oahu,UNITED STATES OF AMERICA,United States of America,Govt. Federal,Public-Federal,1.02113425
